 crop , area , prod , year , state 
15,0,0,2012,13
15,0,0,2013,13
15,0,0,2009,14
15,0,0,2010,14
15,0,0,2011,14
15,0,0,2012,14
15,0,0,2013,14
15,0,0,2009,15
15,0,0,2010,15
15,0,0,2011,15
15,0,0,2012,15
15,0,0,2013,15
15,0,0,2009,16
15,0,0,2010,16
15,0,0,2011,16
15,0,0,2012,16
15,0,0,2013,16
15,2,1,2009,17
15,0,0,2010,17
15,0,0,2011,17
15,0,0,2012,17
15,0,0,2013,17
15,7,4,2009,18
15,5,4,2010,18
15,5,4,2011,18
15,5,4,2012,18
15,0,0,2013,18
16,12300,16378,2009,1
16,12416,16433,2010,1
16,12113,15366,2011,1
16,12244,15003,2012,1
16,11041,14102,2013,1
16,0,0,2009,2
16,0,0,2010,2
16,0,0,2011,2
16,0,0,2012,2
16,0,0,2013,2
16,0,0,2009,3
16,0,0,2010,3
16,0,0,2011,3
16,0,0,2012,3
16,0,0,2013,3
16,121,165,2009,4
16,129,179,2010,4
16,110,145,2011,4
16,116,133,2012,4
16,105,121,2013,4
16,0,0,2009,5
16,0,0,2010,5
16,0,0,2011,5
16,0,0,2012,5
16,0,0,2013,5
16,0,0,2009,6
16,0,0,2010,6
16,0,0,2011,6
16,0,0,2012,6
16,0,0,2013,6
16,22,28,2009,7
16,20,25,2010,7
16,18,24,2011,7
16,20,25,2012,7
16,15,16,2013,7
16,0,0,2009,8
16,0,0,2010,8
16,0,0,2011,8
16,0,0,2012,8
16,0,0,2013,8
16,0,0,2009,9
16,0,0,2010,9
16,0,0,2011,9
16,0,0,2012,9
16,0,0,2013,9
16,0,0,2009,10
16,0,0,2010,10
16,0,0,2011,10
16,0,0,2012,10
16,0,0,2013,10
16,2060,2039,2009,11
16,2133,2155,2010,11
16,2013,1835,2011,11
16,1976,1913,2012,11
16,1211,1316,2013,11
16,5125,6242,2009,12
16,5226,6312,2010,12
16,4519,4312,2011,12
16,3351,3426,2012,12
16,2611,2514,2013,12
16,36,43,2009,13
16,40,50,2010,13
16,42,56,2011,13
16,50,62,2012,13
16,41,51,2013,13
16,0,0,2009,14
16,0,0,2010,14
16,0,0,2011,14
16,0,0,2012,14
16,0,0,2013,14
16,0,0,2009,15
16,0,0,2010,15
16,0,0,2011,15
16,0,0,2012,15
16,0,0,2013,15
16,0,0,2009,16
16,0,0,2010,16
16,0,0,2011,16
16,0,0,2012,16
16,0,0,2013,16
16,0,0,2009,17
16,0,0,2010,17
16,0,0,2011,17
16,0,0,2012,17
16,0,0,2013,17
16,0,0,2009,18
16,0,0,2010,18
16,0,0,2011,18
16,0,0,2012,18
16,0,0,2013,18
14,12300,16378,2009,1
14,12416,16433,2010,1
14,12113,15366,2011,1
14,12244,15003,2012,1
14,11041,14102,2013,1
14,0,0,2009,2
14,0,0,2010,2
14,0,0,2011,2
14,0,0,2012,2
14,0,0,2013,2
14,0,0,2009,3
14,0,0,2010,3
14,0,0,2011,3
14,0,0,2012,3
14,0,0,2013,3
14,121,165,2009,4
14,129,179,2010,4
14,110,145,2011,4
14,116,133,2012,4
14,105,121,2013,4
14,0,0,2009,5
14,0,0,2010,5
14,0,0,2011,5
14,0,0,2012,5
14,0,0,2013,5
14,0,0,2009,6
14,0,0,2010,6
14,0,0,2011,6
14,0,0,2012,6
14,0,0,2013,6
14,22,28,2009,7
14,20,25,2010,7
14,18,24,2011,7
14,20,25,2012,7
14,15,16,2013,7
14,0,0,2009,8
14,0,0,2010,8
14,0,0,2011,8
14,0,0,2012,8
14,0,0,2013,8
14,0,0,2009,9
14,0,0,2010,9
14,0,0,2011,9
14,0,0,2012,9
14,0,0,2013,9
14,0,0,2009,10
14,0,0,2010,10
14,0,0,2011,10
14,0,0,2012,10
14,0,0,2013,10
14,2060,2039,2009,11
14,2133,2155,2010,11
14,2013,1835,2011,11
14,1976,1913,2012,11
14,1211,1316,2013,11
14,5125,6242,2009,12
14,5226,6312,2010,12
14,4519,4312,2011,12
14,3351,3426,2012,12
14,2611,2514,2013,12
14,36,43,2009,13
14,40,50,2010,13
14,42,56,2011,13
14,50,62,2012,13
14,41,51,2013,13
14,0,0,2009,14
14,0,0,2010,14
14,0,0,2011,14
14,0,0,2012,14
14,0,0,2013,14
14,0,0,2009,15
14,0,0,2010,15
14,0,0,2011,15
14,0,0,2012,15
14,0,0,2013,15
14,0,0,2009,16
14,0,0,2010,16
14,0,0,2011,16
14,0,0,2012,16
14,0,0,2013,16
14,0,0,2009,17
14,0,0,2010,17
14,0,0,2011,17
14,0,0,2012,17
14,0,0,2013,17
14,0,0,2009,18
14,0,0,2010,18
14,0,0,2011,18
14,0,0,2012,18
14,0,0,2013,18
