id,crop,class
1,Sorghum,1
2,Millet,1
3,Maize,1
4,Wheat,1
5,Barley,1
6,Lentil,4
7,Peas,4
8,Chick Peas,4
9,Broad Beans,4
10,Fenugreek,4
11,Sesame,5
12,Beans,4
13,Coffee,5
14,Tobacco,5
15,Groundnuts,5
16,Cotton,5
